LocationName,Address,City,State,Zip,Description,Website,Phone,hours,addresses,lon,lat
Autumn Hills Orchards,495 Chicopee Row,Groton,MA,1450,Working farm growing over 25 varieties of apples plus peaches pears and plums in season. Now offering PYO blueberries (July and August) and raspberries (summer and fall). Tree fruit in September through October.  Located about 45 miles from downtown Boston in historic Groton Autumn Hills offers award winning fruit and sweeping mountain vistas to the north and west.,AutumnHillsOrchard.com,(978) 448-8388,Daily 10 a.m.-5 p.m.,"495 Chicopee Row, Groton, MA",-71.5450394,42.6385216
Barker's Farmstand,1267 Osgood Street. (Rt. 125),North Andover,MA,1845,The oldest continuing farm in operation in Massachusetts (est. 1642). PYO apples and flowers. Grow strawberries vegetables flowers hemlock bark mulch.  Group school hayrides thru orchards & fields. Farmstand & greenhouse. Christmas trees custom wreaths kissing balls crafts and gifts.,,(978) 683-0785,"Mon.-Sat. 8:30 a.m-5 p.m., Sun. 9 a.m.-3:30 p.m.","1267 Osgood Street. (Rt. 125), North Andover, MA",-71.1108627,42.7205854
Belkin Family Lookout Farm,89 Pleasant Street,Natick,MA,1760,Belkin Family Lookout Farm is one of the oldest continuously working farms in the U.S. Pick your own peaches apples and pumpkins in the fall.  Families also enjoy train rides children's play area picnic tables hay pyramid burlap maze and Busy Bee Learning Center.,www.Lookoutfarm.com,(508) 651-1539,Daily 10 a.m.-5 p.m.,"89 Pleasant Street, Natick, MA",-71.3090991,42.2630201
Berlin Orchards,310 Sawyer Hill Road,Berlin,MA,1503,No descriptions,www.Berlinorchards.com,(978) 838-2400,Daily 10 a.m.-5 p.m.,"310 Sawyer Hill Road, Berlin, MA",-71.6216287,42.3883948
Bolton Spring Farm,159 Main St. ,Bolton ,MA,1740,"Set on 150 acres of pristine farmland, rolling orchard hills and woodlands, Bolton Spring Farm evokes a feeling of old New England country.",http://www.boltonspringfarm.com/,(978) 779-2898,Daily 9 a.m.-5 p.m.,"159 Main St., Bolton, MA",-71.564231,42.4399226
Breezelands Orchards,1791 Southbridge Road,Warren,MA,1083,Pick your own apples Sept 1st till mid Oct. Offer school tours and picnic tables.,www.Breezelandsorchards.com,(413) 436-7100,Daily 10 a.m.-5 p.m.,"1791 Southbridge Road, Warren, MA",-72.158361,42.1760345
Brookfield Orchards Inc.,12 Lincoln Road,North Brookfield,MA,1535,Apples pick-your-own and retail. Country Store with preserves honey and maple products cheese cider and gifts. Bakery with apple dumplings pies cider donuts. Snack bar picnic area playground wagon rides. Open year round - Closed Thanksgiving Day Christmas Day July 4. Visit us on Facebook.,www.brookfieldorchardsonline.com,(508) 867-6858,Daily 9 a.m.-5 p.m.,"12 Lincoln Road, North Brookfield, MA",-72.0651777,42.2567739
Brooksby Farm,38 Felton Street,Peabody,MA,1960,Pick-your-own berries and apples; walking trails; picnic area; cross-country ski area & rentals; hayrides; retail store; Harvest Festival; pumpkins; gift baskets. Close to historic Salem and its attractions. Birthday parties and PYO peaches.,www.brooksbyfarm.org,(978) 531-7456,Daily 9 a.m.-5 p.m.,"38 Felton Street, Peabody, MA",-70.9607226,42.5451604
C.N. Smith Farm Inc.,325 South Street,East Bridgewater,MA,2333,Family owned farm for over 80 years. Raise wide variety of fruits and vegetables for sale and PYO. Garden center. Hayrides in fall and group tours by appt.,www.cnsmithfarminc.com,(508) 378-2270,"Wed.-Fri. 10 a.m-4 p.m., Sat.-Sun. 9 a.m.-4 p.m.","325 South Street, East Bridgewater, MA",-70.9424664,42.0077298
Carlson Orchards Inc.,115 Oak Hill Road,Harvard,MA,1451,Offer apples peaches nectarines raspberriesblueberries pumpkins cider mill & bottling area. Packing plant apple peeler slicer cider jelly boiler all on premises. Area attractions include the Fruitlands Museum.,www.CarlsonOrchards.com,(978) 456-3916,Daily 9 a.m-4 p.m.,"115 Oak Hill Road, Harvard, MA",-71.5633008,42.5004617
Carver Hill Orchards,101 Brookside Avenue,Stow,MA,1775,Variety of fruits vegetables & ice cream available at our farmstand.,www.carverhillorchard.com/,(978) 897-6117,,"101 Brookside Avenue, Stow, MA",-71.5025782,42.4314279
Cider Hill Farm,45 Fern Ave.,Amesbury,MA,1913,We are involved with the Green Meadows Farm CSA in Hamilton and with the Marblehead Salem and Melrose Coops which supply in-season weekly fruits and vegetable to over 300 families. Our involvement with this progressive CSA activity now spans more than ten years.,www.ciderhill.com,(978) 388-5525,Daily 8 a.m.-6 p.m.,"45 Fern Ave., Amesbury, MA",-70.9275452,42.8782036
Clearview Farm,4 Kendall Hill Road,Sterling,MA,1564,PYO apples peaches pumpkins red raspberries blueberries hayrides to orchards. Picnic area.Farm store and cider pressing baked goods honey eggs jam syrup cider donuts vegetables flowers herbs. School groups by appointment. Close to Davis Farmland and Mega Maze.,www.Clearviewfarmstand.com,(978) 422-6442,Daily 9 a.m.-6 p.m.,"4 Kendall Hill Road, Sterling, MA",-71.7519589,42.4328844
Davis Farmland,145 Redstone Hill Rd,Sterling,MA,1564,"Davis Farmland is a discovery farm for families with children 12 and younger, featuring over 100 breeds – including North America’s largest sanctuary of endangered farm animals. There is also pretend and nature-based play, a water spray park, hay and pony rides, delicious food, apple & pumpkin picking & more!",www.davisfarmland.com,(978) 422-6666,Thur.-Sun. 9:30 a.m-5 p.m.,"145 Redstone Hill Rd, Sterling, MA",-71.7274993,42.4358154
Doe Orchards,327 Ayer Road,Harvard,MA,1451,Located in Nashoba Valley. Committed to PYO. 25 acres of PYO apples 10 acres of U-cut Christmas trees 2 acres of PYO blueberries & raspberries.,www.doeorchards.com,(978) 772-4139,Daily 10 a.m.-5 p.m.,"327 Ayer Road, Harvard, MA",-71.5751257,42.5445233
Drew Farms,31 Tadmick Road,Westford,MA,1886,"Drew Farms is a family owned and operated business that specializes in providing a family friendly apple picking, flowers, and pumpkin picking.",http://www.drewfarm.com/,(978) 807-0719,"Mon.-Fri. 10 a.m.-6 p.m., Sat.-Sun. 10 a.m.-5 p.m.","31 Tadmick Road, Westford, MA",-71.4159405,42.5799173
Honey Pot Hill Orchard,144 Sudbury Road,Stow,MA,1775,We have a 25 variety apple orchard/cider press and  farmstand. Visit with our friendly farm animals & get lost in our Hedge Maze. Offer picnic area and hayrides on weekends during P.Y.O season. We host school tours and company outings by appointment.,www.Honeypothill.com,(978) 562-5666,Daily 9 a.m.-6 p.m.,"144 Sudbury Road, Stow, MA",-71.5130612,42.4113031
Kimball Fruit Farm,184 Hollis Street,Pepperell,MA,1463,We operate and specialize in pick-your-own apples strawberries fall & summer raspberries peaches and grow a variety of vegetable production.  Come join us and bring a picnic.  Also specialize in Heirloom tomatoes. Open daily 9:00 am - 7:00 pm June to Thanksgiving.,www.KimballFruitFarm.com,(978) 433-9751,Daily 9 a.m.-7 p.m.,"184 Hollis Street, Pepperell, MA",-71.58962,42.7021609
Lanni Orchards,294 Chase Road Rt. 13,Lunenburg,MA,1462,Great Pick-Your-Own experience for everyone. Offer a nice selection of our own grown fruits and vegetables (when season allows). Farmstand open year round which includes our crops along with locally produced baked goods meats cheese honey maple syrup fudge and other products. In season offer PYO strawberries raspberries blueberries apples and pumpkins.,www.Lanniorchards.com,(978) 582-6246,Daily 8 a.m.-6 p.m.,"294 Chase Road Rt. 13, Lunenburg, MA",-71.747362,42.6066862
Nashoba Valley Winery and Orchard,100 Wattaquadoc Hill Road,Bolton,MA,1740,Nashoba Valley Winery is a stunning hilltop orchard overlooking the charming town of Bolton.  The family-owned orchard winery & restaurant set on 52 rolling acres boasts a state-of-the art wine-making and distillation facility an exceptional wine and gift shoppe a brewery and a gourmet restaurant.,www.Nashobawinery.com,(978) 779-5521,Daily 11 a.m-4 p.m.,"100 Wattaquadoc Hill Road, Bolton, MA",-71.6162721,42.4301614
Parlee Farms,95 Farwell Road,Tyngsborough,MA,1879,93 acre farm with PYO strawberries blueberries cherries peaches cut flowers apples and pumpkins.  Farmstand offers our own fresh picked fruit our own corn bakery items apple cider donuts kettle corn first quality local vegetables jams local raw honey from our beekeeper and more.  Mary's Country Kitchen offers ice cream and fresh fruit desserts.,www.Parleefarms.com,(978) 649-3854,"Tues.—Fri. 11 a.m.-4 p.m., Sat.-Sun. 10 a.m.-5 pm.","95 Farwell Road, Tyngsborough, MA",-71.4252709,42.6913386
Red Apple Farm,455 Highland Avenue,Phillipston,MA,1331,Fourth generation New England family farm. PYO apples (48 varieties) peaches pears pumpkins blueberries raspberries and potatoes. Hayrides weekend BBQ's farm animals hiking trails and picnic pavilion. Fresh cider baked goods cider donuts and homemade fudge.,www.Redapplefarm.com,(800) 628-4851,Daily 9 a.m.-6 p.m,"455 Highland Avenue, Phillipston, MA",-72.14673,42.581829
Russell  Orchards & Winery,143 Argilla Road,Ipswich,MA,1938,Fully licensed bonded winery of special fruit wines.  Farm stand in 18th century barn with cider mill.  Fall hayrides through farm. Apple operation tours for children. Picnic areas farm animals playgrounds and beautiful country farm with PYO apples strawberries raspberries and blueberries. We offer 25 fruit wine and hard cider varietals.,www.RussellOrchards.com,(978) 356-5366,Daily 9 a.m.-5 p.m.,"143 Argilla Road, Ipswich, MA",-70.8030662,42.6616765
Shelburne Farm,106 West Acton Road,Stow,MA,1775,Pick-Your-Own apples peaches and pumpkin operation and homemade jams and jellies. Come visit our Country Store and bring a picnic. Children can pick apples from our miniature trees. Birthday parties company picnics. Moon Bounce Pedal Tractors Hay Maze Pony Rides Farm Animals NEW!! Hay Climbing Mountain.,www.Shelburnefarm.com,(978) 897-9287,Daily 9 a.m.-6 p.m.,"106 West Acton Road, Stow, MA",-71.5005746,42.4462779
Sholan Farms,1125 Pleasant St.,Leominster,MA,1453,Picturesque farm located high on hill overlooking Boston. Offer PYO apples & raspberries & blueberries farmstand with seasonal produce and pumpkins group tours wagon rides hiking trails and many festivals. Last PYO orchard in Johnny Appleseed's hometown.,www.Sholanfarms.com,(978) 840-3276,Daily 10 a.m.-5 p.m.,"1125 Pleasant St., Leominster, MA",-71.7768244,42.4873485
Smolak Farms,315 South Bradford Street,North Andover,MA,1845,300 year old 155-acre farm PYO fruit choose & cut Christmas trees bakery vegetable production function areas educational kids' birthday & night hayrides festivals kids' crafts summer program. PYO strawberries cherries raspberries peaches plums apples pumpkins heirloom tomatoes and Christmas trees. Hay rides in the Fall.,www.Smolakfarms.com,(978) 682-6332,Daily 8 a.m.-4:30 p.m.,"315 South Bradford Street, North Andover, MA",-71.074677,42.6902773
Tougas Family Farm,234 Ball Street,Northborough,MA,1532,PYO fruits school field trips farm kitchen/bakery ice cream farm tours wagon rides on autumn weekends and holidays.,www.Tougasfarm.com,(508) 393-6406,Tues.-Sun. 10 a.m.-5 p.m.,"234 Ball Street, Northborough, MA",-71.6794885,42.3453829
Westward Orchards,Massachusetts Ave. (Rt. 111),Harvard,MA,1451,Fourth generation family farm growing a variety of apples peaches pears nectarines plums and vegetables. Farm store offers an assortment of Westward Orchards grown produce as well as made to order sandwiches hearty soups and delicious baked goodsÅ â_including our own apple cider donuts made daily.,www.Westwardorchards.com,(978) 456-8363,"Daily, except Tues., 9 a.m.-4 p.m.","Massachusetts Ave. (Rt. 111), Harvard, MA",-71.5704737,42.4912098
